type,beta,acc,loss,file
ib,0.0005,0.7916666666666666,0.5280598998069763,subject_01_ib_beta_0.0005.json
ib,0.001,0.7833333412806193,0.5881640613079071,subject_01_ib_beta_0.001.json
ib,5e-05,0.7733333508173624,0.49527345101038617,subject_01_ib_beta_5e-05.json
ib,0.0001,0.7716666658719381,0.5420442819595337,subject_01_ib_beta_0.0001.json
noib,N/A,0.7650000055631002,0.5936132669448853,subject_01_noib.json
ib,2e-05,0.7633333206176758,0.6324609319368998,subject_01_ib_beta_2e-05.json
ib,1e-05,0.7549999952316284,0.5517968833446503,subject_01_ib_beta_1e-05.json
ib,0.0002,0.6983333428700765,0.7994010349114736,subject_01_ib_beta_0.0002.json
