Beta,Latent_Dim,Seed,Class_Acc,EEG_Acc,Class_Loss,Total_Loss
5e-05,128,42,0.7450000047683716,0.7149999737739563,0.5051230192184448,1.619878888130188
5e-05,128,42,0.8450000286102295,0.8550000190734863,0.37229228019714355,1.2262779474258423
5e-05,128,42,0.7300000190734863,0.7049999833106995,0.7517085075378418,1.8104418516159058
0.0002,128,42,0.8199999928474426,0.824999988079071,0.39490920305252075,1.4171383380889893
0.0002,128,42,0.8450000286102295,0.8349999785423279,0.4130994379520416,1.244714617729187
0.0002,128,42,0.7400000095367432,0.7350000143051147,0.6753761172294617,1.7627792358398438
0.0001,64,42,0.675000011920929,0.6200000047683716,0.6134470105171204,2.111513614654541
0.0001,64,42,0.8299999833106995,0.824999988079071,0.43335747718811035,1.3448082208633423
0.0001,64,42,0.7450000047683716,0.7300000190734863,0.6505122184753418,1.7780441045761108
0.0001,256,42,0.6650000214576721,0.699999988079071,0.5921017527580261,1.8725558519363403
0.0001,256,42,0.8149999976158142,0.8550000190734863,0.44578438997268677,1.3387384414672852
0.0001,256,42,0.7400000095367432,0.7200000286102295,0.6305597424507141,1.7113549709320068
0.0001,128,123,0.6949999928474426,0.7450000047683716,0.564156174659729,1.7076995372772217
0.0001,128,123,0.7799999713897705,0.8299999833106995,0.5289619565010071,1.4725825786590576
0.0001,128,123,0.75,0.7599999904632568,0.6047359704971313,1.6733191013336182
0.0001,128,2024,0.7099999785423279,0.6449999809265137,0.6093671321868896,1.9588754177093506
0.0001,128,2024,0.8100000023841858,0.7900000214576721,0.43359869718551636,1.3863445520401
0.0001,128,2024,0.7400000095367432,0.7549999952316284,0.7168824672698975,1.8728668689727783
